UNITNAME,ARCHIVE_PATH,ID
b'DES1150-0333',b'DEC/multiepoch/delve/r5918/DES1150-0333/p01',21658552
b'DES1150-1624',b'DEC/multiepoch/delve/r5918/DES1150-1624/p01',21658557
b'DES1152+2126',b'DEC/multiepoch/delve/r5918/DES1152+2126/p01',21658596
b'DES1153+2334',b'DEC/multiepoch/delve/r5918/DES1153+2334/p01',21658624
b'DES1153-2041',b'DEC/multiepoch/delve/r5918/DES1153-2041/p01',21658633
b'DES1155-2124',b'DEC/multiepoch/delve/r5918/DES1155-2124/p01',21658685
b'DES1155-2332',b'DEC/multiepoch/delve/r5918/DES1155-2332/p01',21658686
b'DES1155-2415',b'DEC/multiepoch/delve/r5918/DES1155-2415/p01',21658687
b'DES1156-0541',b'DEC/multiepoch/delve/r5918/DES1156-0541/p01',21658707
b'DES1156-0915',b'DEC/multiepoch/delve/r5918/DES1156-0915/p01',21658710
b'DES1157+0252',b'DEC/multiepoch/delve/r5918/DES1157+0252/p01',21658715
b'DES1157-1250',b'DEC/multiepoch/delve/r5918/DES1157-1250/p01',21658738
b'DES1157-1332',b'DEC/multiepoch/delve/r5918/DES1157-1332/p01',21658739
b'DES0743+2500',b'DEC/multiepoch/delve/r5918/DES0743+2500/p03',21658759
b'DES0751+0500',b'DEC/multiepoch/delve/r5918/DES0751+0500/p02',21658761
b'DES0754-0541',b'DEC/multiepoch/delve/r5918/DES0754-0541/p02',21658762
b'DES1021+2043',b'DEC/multiepoch/delve/r5918/DES1021+2043/p02',21658860
b'DES0705+2751',b'DEC/multiepoch/delve/r5918/DES0705+2751/p01',21648235
b'DES0717+1751',b'DEC/multiepoch/delve/r5918/DES0717+1751/p01',21648814
b'DES0721+2625',b'DEC/multiepoch/delve/r5918/DES0721+2625/p03',21649943
b'DES0753+0418',b'DEC/multiepoch/delve/r5918/DES0753+0418/p01',21650322
b'DES0757+2751',b'DEC/multiepoch/delve/r5918/DES0757+2751/p01',21650405
b'DES0816+2043',b'DEC/multiepoch/delve/r5918/DES0816+2043/p01',21651048
b'DES0834-1041',b'DEC/multiepoch/delve/r5918/DES0834-1041/p01',21653261
b'DES0904-0750',b'DEC/multiepoch/delve/r5918/DES0904-0750/p01',21654324
b'DES0918+2251',b'DEC/multiepoch/delve/r5918/DES0918+2251/p01',21654677
b'DES0927-0416',b'DEC/multiepoch/delve/r5918/DES0927-0416/p01',21654908
b'DES0927-1458',b'DEC/multiepoch/delve/r5918/DES0927-1458/p01',21654914
b'DES0928+1209',b'DEC/multiepoch/delve/r5918/DES0928+1209/p01',21654929
b'DES0928-1707',b'DEC/multiepoch/delve/r5918/DES0928-1707/p01',21654947
b'DES0929-0707',b'DEC/multiepoch/delve/r5918/DES0929-0707/p01',21654966
b'DES0930+0626',b'DEC/multiepoch/delve/r5918/DES0930+0626/p01',21654976
b'DES0931+0917',b'DEC/multiepoch/delve/r5918/DES0931+0917/p01',21655006
b'DES0932-2332',b'DEC/multiepoch/delve/r5918/DES0932-2332/p01',21655048
b'DES0933-2124',b'DEC/multiepoch/delve/r5918/DES0933-2124/p01',21655076
b'DES0935+1751',b'DEC/multiepoch/delve/r5918/DES0935+1751/p01',21655109
